"","1","2","3","4","5","6","7","8","9","10","11","12"
"Ifi204",2.65999221874106,2.95943553663742,3.62340758094993,1.62949117589636,1.89356600737808,1.52533005074282,1.50462033695277,1.68083361713334,2.19305570813653,1.7565041352247,1.65124005378235,1.77195685184347
"Itgax",6.97636254249994,7.12862393338085,7.33208809352615,5.00174645574453,4.99303481544845,5.24372208094011,4.8463992313007,4.72793243749689,5.24289027315323,4.767676312062,5.12294618527314,4.91194661327306
"Cd180",7.12107540153734,6.94176407652805,7.17838699393482,5.96767132697236,5.90763607567621,5.46709115561597,6.06485112228762,5.86752134414498,5.99096241467641,5.77848416070607,5.26906671584699,5.53472116273204
"Ly86",9.62997887144552,9.75516195857228,9.71655713865634,8.03859260258342,8.0128044843339,7.93540700575201,8.25149299758898,8.27594016782886,8.38577849987345,8.26478786347051,7.85448821966965,8.30673722501522
"Erdr1",10.3185497347862,9.6740712477595,9.44545236908797,10.3307087005776,9.65710390424818,9.53553235103957,11.2464572712515,11.0953665032941,10.8149970849807,9.11811350594458,6.6758141209613,9.58948315920415
"Lyz2",7.92490335832913,7.98336625586434,7.89834786902398,6.09534039885188,6.12028752155355,5.77147045963082,6.46361089064311,6.11535743734359,5.63453458274899,6.11608237709865,5.7056169250393,6.3590463378424
"Nr4a3",8.2902217453594,8.23600003719024,8.24850449147187,8.62665938526476,8.75836524875494,8.5014028062383,6.89491243765012,6.89278572137762,7.11197304429707,7.78337505159953,8.05094602735682,8.3379058226168
"Osmr",7.77574183980054,7.61347476680521,7.79820303738536,6.51929883296665,6.75109840657762,6.52320275201452,6.64455182771946,6.49473776540538,6.32429173859791,6.82555596540889,6.07198066585065,6.63627795407744
"Lgals3bp",8.29710921313121,8.66621541066252,8.62172340266815,7.28295137867411,7.35861736887238,7.37844495026035,7.20208405847965,7.25134887166467,7.00955550553119,7.16503558436096,7.06105712923807,6.7838323367228
"Zfp982",5.00766574222024,4.73026149123,4.57597280469962,5.15534449672898,5.17555889130799,4.6309474554411,5.31177283815456,4.57332432729804,4.98645642335256,4.25683959833252,3.46588113903396,3.53138118180407
"Ccl3",8.32347924670076,8.36795903211859,8.26035439093778,4.67656827875307,5.17048705735784,5.15162169841911,5.29297963178835,5.50502418294858,5.12885257662977,5.18368267891101,5.06471695685799,5.17977135251098
"Ccl6",7.21072112296787,7.07438797465667,6.88238176254443,5.08634772980823,4.91978430197318,4.96165769512468,5.18432131812618,4.91836166041896,4.77238755403891,4.48074921139659,5.20808077063075,4.93982497316985
"Serpina3n",9.59854084020067,9.73530234899485,9.68602644036495,7.87473061177073,7.97681469484222,7.82702935127468,8.03073840522982,7.85707883500583,8.21304672911815,8.13723149777716,7.66389670254892,8.19068993118301
"Spp1",7.6102069895049,7.48163803126125,7.81008622872115,6.56873314165109,6.71603370648292,6.63871525433101,6.79237764613531,6.37645623521632,6.35147259913888,6.7534052455098,6.3624692208355,6.63438956799882
"Tyrobp",8.62112884094422,8.87532123402187,8.71354376449802,6.74192011276082,7.00245948280689,7.03978883595553,6.95207073983365,6.91664108392689,7.01969967349105,6.70960258866608,6.78072489604452,7.02644065827694
"Zfp125",7.79258306828644,7.64061719655221,7.6968654732915,7.97423187816203,7.95361504679378,7.8268023763207,5.62871306790842,5.52815684220493,4.68511091599473,8.36467318843509,7.83004918394315,8.16551591326637
"Atp6v0d2",5.50027426792697,5.76496429668767,5.35085431805234,3.34049633313735,3.05666922747541,3.56882673142852,3.5198357080769,3.63470773664093,3.12644312124664,3.61726671505291,3.52764958073717,2.88916300944171
"Olfr954",1.92131064022508,2.24646625922065,2.00389289965437,2.64022041367161,2.44222369517154,2.49376307163027,2.95218690593836,2.54615426301434,2.41875133737988,2.20032444463617,2.13587865384607,1.88094652852019
"Olfr196",2.97103129695345,2.65216232814122,2.54617023404503,2.04064243096157,1.62260420260325,2.17811912175572,2.2903660162334,2.0617620749599,2.31832940936857,2.50458296129612,3.33314004670768,3.09807018795323
"3110053B16Rik",6.65437664725915,7.11456584930518,6.77569404031996,6.51289693129648,6.69436657401482,6.22175152263329,5.94621436519831,4.55545719473436,4.79191100060301,7.34916011935138,6.88505936413117,6.8964423049363
"Mir29a",3.94886110616607,3.51727049718787,3.69608731573286,3.68094953250324,4.08838027144325,3.50051213728867,1.91618519100195,1.38649384593938,1.84982300682365,3.90169306043386,2.95161220551762,2.54035360539532
"Mirlet7c-1",4.60044530084856,4.00058897897686,4.27636679012284,4.64833974546694,4.38764758332119,4.2003724573738,3.08034473251636,3.07481842844145,3.2816261741335,3.99581176277983,4.6573645459562,4.62412165862452
